2.00,50.00,12500.00,98.00,1.00
0.00,13.00,3250.00,28.00,1.00
1.00,16.00,4000.00,35.00,1.00
2.00,20.00,5000.00,45.00,1.00
1.00,24.00,6000.00,77.00,0.00
4.00,4.00,1000.00,4.00,0.00
2.00,7.00,1750.00,14.00,1.00
1.00,12.00,3000.00,35.00,0.00
2.00,9.00,2250.00,22.00,1.00
5.00,46.00,11500.00,98.00,1.00
4.00,23.00,5750.00,58.00,0.00
0.00,3.00,750.00,4.00,0.00
2.00,10.00,2500.00,28.00,1.00
1.00,13.00,3250.00,47.00,0.00
2.00,6.00,1500.00,15.00,1.00
2.00,5.00,1250.00,11.00,1.00
2.00,14.00,3500.00,48.00,1.00
2.00,15.00,3750.00,49.00,1.00
2.00,6.00,1500.00,15.00,1.00
2.00,3.00,750.00,4.00,1.00
2.00,3.00,750.00,4.00,1.00
4.00,11.00,2750.00,28.00,0.00
2.00,6.00,1500.00,16.00,1.00
2.00,6.00,1500.00,16.00,1.00
9.00,9.00,2250.00,16.00,0.00
4.00,14.00,3500.00,40.00,0.00
4.00,6.00,1500.00,14.00,0.00
4.00,12.00,3000.00,34.00,1.00
4.00,5.00,1250.00,11.00,1.00
4.00,8.00,2000.00,21.00,0.00
1.00,14.00,3500.00,58.00,0.00
4.00,10.00,2500.00,28.00,1.00
4.00,10.00,2500.00,28.00,1.00
4.00,9.00,2250.00,26.00,1.00
2.00,16.00,4000.00,64.00,0.00
2.00,8.00,2000.00,28.00,1.00
2.00,12.00,3000.00,47.00,1.00
4.00,6.00,1500.00,16.00,1.00
2.00,14.00,3500.00,57.00,1.00
4.00,7.00,1750.00,22.00,1.00
2.00,13.00,3250.00,53.00,1.00
2.00,5.00,1250.00,16.00,0.00
2.00,5.00,1250.00,16.00,1.00
2.00,5.00,1250.00,16.00,0.00
4.00,20.00,5000.00,69.00,1.00
4.00,9.00,2250.00,28.00,1.00
2.00,9.00,2250.00,36.00,0.00
2.00,2.00,500.00,2.00,0.00
2.00,2.00,500.00,2.00,0.00
2.00,2.00,500.00,2.00,0.00
2.00,11.00,2750.00,46.00,0.00
2.00,11.00,2750.00,46.00,1.00
2.00,6.00,1500.00,22.00,0.00
2.00,12.00,3000.00,52.00,0.00
4.00,5.00,1250.00,14.00,1.00
4.00,19.00,4750.00,69.00,1.00
4.00,8.00,2000.00,26.00,1.00
2.00,7.00,1750.00,28.00,1.00
2.00,16.00,4000.00,81.00,0.00
3.00,6.00,1500.00,21.00,0.00
2.00,7.00,1750.00,29.00,0.00
2.00,8.00,2000.00,35.00,1.00
2.00,10.00,2500.00,49.00,0.00
4.00,5.00,1250.00,16.00,1.00
2.00,3.00,750.00,9.00,1.00
3.00,16.00,4000.00,74.00,0.00
2.00,4.00,1000.00,14.00,1.00
0.00,2.00,500.00,4.00,0.00
4.00,7.00,1750.00,25.00,0.00
1.00,9.00,2250.00,51.00,0.00
2.00,4.00,1000.00,16.00,0.00
2.00,4.00,1000.00,16.00,0.00
4.00,17.00,4250.00,71.00,1.00
2.00,2.00,500.00,4.00,0.00
2.00,2.00,500.00,4.00,1.00
2.00,2.00,500.00,4.00,1.00
2.00,4.00,1000.00,16.00,1.00
2.00,2.00,500.00,4.00,0.00
2.00,2.00,500.00,4.00,0.00
2.00,2.00,500.00,4.00,0.00
4.00,6.00,1500.00,23.00,1.00
2.00,4.00,1000.00,16.00,0.00
2.00,4.00,1000.00,16.00,0.00
2.00,4.00,1000.00,16.00,0.00
2.00,6.00,1500.00,28.00,1.00
2.00,6.00,1500.00,28.00,0.00
4.00,2.00,500.00,4.00,0.00
4.00,2.00,500.00,4.00,0.00
4.00,2.00,500.00,4.00,0.00
2.00,7.00,1750.00,35.00,1.00
4.00,2.00,500.00,4.00,1.00
4.00,2.00,500.00,4.00,0.00
4.00,2.00,500.00,4.00,0.00
4.00,2.00,500.00,4.00,0.00
12.00,11.00,2750.00,23.00,0.00
4.00,7.00,1750.00,28.00,0.00
3.00,17.00,4250.00,86.00,0.00
4.00,9.00,2250.00,38.00,1.00
4.00,4.00,1000.00,14.00,1.00
5.00,7.00,1750.00,26.00,1.00
4.00,8.00,2000.00,34.00,1.00
2.00,13.00,3250.00,76.00,1.00
4.00,9.00,2250.00,40.00,0.00
2.00,5.00,1250.00,26.00,0.00
2.00,5.00,1250.00,26.00,0.00
6.00,17.00,4250.00,70.00,0.00
0.00,8.00,2000.00,59.00,0.00
3.00,5.00,1250.00,26.00,0.00
2.00,3.00,750.00,14.00,0.00
2.00,10.00,2500.00,64.00,0.00
4.00,5.00,1250.00,23.00,1.00
4.00,9.00,2250.00,46.00,0.00
4.00,5.00,1250.00,23.00,0.00
4.00,8.00,2000.00,40.00,1.00
2.00,12.00,3000.00,82.00,0.00
11.00,24.00,6000.00,64.00,0.00
2.00,7.00,1750.00,46.00,1.00
4.00,11.00,2750.00,61.00,0.00
1.00,7.00,1750.00,57.00,0.00
2.00,11.00,2750.00,79.00,1.00
2.00,3.00,750.00,16.00,1.00
4.00,5.00,1250.00,26.00,1.00
2.00,6.00,1500.00,41.00,1.00
2.00,5.00,1250.00,33.00,1.00
2.00,4.00,1000.00,26.00,0.00
2.00,5.00,1250.00,34.00,0.00
4.00,8.00,2000.00,46.00,1.00
2.00,4.00,1000.00,26.00,0.00
4.00,8.00,2000.00,48.00,1.00
2.00,2.00,500.00,10.00,1.00
4.00,5.00,1250.00,28.00,0.00
2.00,12.00,3000.00,95.00,0.00
2.00,2.00,500.00,10.00,0.00
4.00,6.00,1500.00,35.00,0.00
2.00,11.00,2750.00,88.00,0.00
2.00,3.00,750.00,19.00,0.00
2.00,5.00,1250.00,37.00,0.00
2.00,12.00,3000.00,98.00,0.00
9.00,5.00,1250.00,19.00,0.00
2.00,2.00,500.00,11.00,0.00
2.00,9.00,2250.00,74.00,0.00
5.00,14.00,3500.00,86.00,0.00
4.00,3.00,750.00,16.00,0.00
4.00,3.00,750.00,16.00,0.00
4.00,2.00,500.00,9.00,1.00
4.00,3.00,750.00,16.00,1.00
6.00,3.00,750.00,14.00,0.00
2.00,2.00,500.00,11.00,0.00
2.00,2.00,500.00,11.00,1.00
2.00,2.00,500.00,11.00,0.00
2.00,7.00,1750.00,58.00,1.00
4.00,6.00,1500.00,39.00,0.00
4.00,11.00,2750.00,78.00,0.00
2.00,1.00,250.00,2.00,1.00
2.00,1.00,250.00,2.00,0.00
2.00,1.00,250.00,2.00,0.00
2.00,1.00,250.00,2.00,0.00
